,respondent_id,plan_date,HIGH_AVG,LOW_AVG,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,hour24
1730,139,9/27/2017,0.7560975609756098,0.5384615384615384,345.2260742,329.2260742,323.2260742,323.2260742,339.2260742,377.2260742,431.2260437,465.2260132,470.2260132,475.2260132,472.2260132,479.2260132,476.2260132,481.2260132,484.2260132,488.2260132,492.2260132,494.2260132,487.2260132,510.2260132,500.2260132,463.2260132,413.22610469999995,380.2260742
1731,139,9/28/2017,1.1219512195121952,0.5,347.2260742,327.2260742,324.2260742,323.2260742,337.2260742,374.2260742,431.2260437,450.22607419999997,459.2260132,466.2260132,471.2260132,476.2260132,490.2260132,494.2260132,498.2260132,506.2260132,501.2260132,505.2260132,505.2260132,522.2260132,508.2260132,462.2260132,409.2260437,378.2260742
1732,139,9/29/2017,0.5121951219512195,0.6153846153846154,339.2260742,328.2260742,317.2260742,318.2260742,330.2260742,367.2260742,419.2260437,442.2260437,456.22607419999997,457.2260132,464.2260132,478.2260132,470.2260132,467.2260132,458.2260132,451.2260437,459.2260132,443.2260437,449.2260437,474.2260132,458.2260132,438.2260437,407.22610469999995,375.22610469999995
1733,139,9/30/2017,0.17073170731707318,0.34615384615384615,348.22610469999995,328.2260742,326.2260742,323.2260742,320.2260742,337.2260742,360.22610469999995,378.2260437,408.2260437,423.2260437,430.2261047,431.2261047,423.2260437,419.2260437,417.2260437,407.2260437,410.2260437,427.2260437,427.2260437,448.2260437,439.2260437,417.2260437,389.22610469999995,361.22610469999995
1734,139,10/1/2017,0.0,0.23076923076923078,344.16772460000004,328.16772460000004,323.16772460000004,314.16772460000004,318.16772460000004,325.16772460000004,353.16772460000004,370.16772460000004,401.16772460000004,427.16772460000004,435.16772460000004,435.16772460000004,426.16772460000004,421.16772460000004,416.16772460000004,420.16772460000004,421.16772460000004,422.16772460000004,440.16772460000004,476.16772460000004,458.16772460000004,440.16772460000004,395.16772460000004,359.16772460000004
1735,139,10/2/2017,0.0,-0.038461538461538464,343.16772460000004,327.16772460000004,334.16772460000004,337.16772460000004,357.16772460000004,414.16772460000004,474.16772460000004,506.16772460000004,515.1677246,507.16772460000004,504.16772460000004,499.16772460000004,498.16772460000004,477.16772460000004,474.16772460000004,465.16772460000004,466.16772460000004,465.16772460000004,488.16772460000004,517.1677246,510.16772460000004,473.16772460000004,426.16772460000004,384.16772460000004
1736,139,10/3/2017,0.21951219512195122,-0.3076923076923077,371.16772460000004,355.16772460000004,355.16772460000004,369.16772460000004,386.16772460000004,441.16772460000004,511.16772460000004,541.1677246,533.1677246,509.16772460000004,501.16772460000004,483.16772460000004,482.16772460000004,472.16772460000004,467.16772460000004,455.16772460000004,457.16772460000004,473.16772460000004,482.16772460000004,508.16772460000004,504.16772460000004,466.16772460000004,426.16772460000004,381.16772460000004
1737,139,10/4/2017,0.21951219512195122,-0.3076923076923077,372.16772460000004,358.16772460000004,359.16772460000004,365.16772460000004,392.16772460000004,438.16772460000004,515.1677246,545.1677246,543.1677246,514.1677246,498.16772460000004,493.16772460000004,486.16772460000004,469.16772460000004,463.16772460000004,465.16772460000004,461.16772460000004,476.16772460000004,488.16772460000004,510.16772460000004,501.16772460000004,471.16772460000004,435.16772460000004,395.16772460000004
1738,139,10/5/2017,0.2926829268292683,-0.34615384615384615,370.16772460000004,365.16772460000004,362.16772460000004,367.16772460000004,400.16772460000004,450.16772460000004,513.1677246,553.1677246,536.1677246,526.1677246,510.16772460000004,494.16772460000004,483.16772460000004,479.16772460000004,468.16772460000004,465.16772460000004,467.16772460000004,477.16772460000004,477.16772460000004,511.16772460000004,496.16772460000004,472.16772460000004,423.16772460000004,387.16772460000004
1739,139,10/6/2017,0.2926829268292683,-0.15384615384615385,370.16772460000004,355.16772460000004,361.16772460000004,363.16772460000004,383.16772460000004,429.16772460000004,499.16772460000004,528.1677246,531.1677246,517.1677246,512.1677246,491.16772460000004,486.16772460000004,474.16772460000004,464.16772460000004,459.16772460000004,459.16772460000004,470.16772460000004,487.16772460000004,494.16772460000004,478.16772460000004,457.16772460000004,419.16772460000004,388.16772460000004
1740,139,10/7/2017,0.0975609756097561,0.038461538461538464,361.16772460000004,345.16772460000004,342.16772460000004,338.16772460000004,341.16772460000004,363.16772460000004,388.16772460000004,413.16772460000004,438.16772460000004,452.16778560000006,457.16772460000004,455.16772460000004,438.16772460000004,429.16772460000004,423.16772460000004,421.16772460000004,424.16772460000004,425.16772460000004,435.16772460000004,467.16772460000004,456.16772460000004,437.16772460000004,412.16772460000004,388.16772460000004
