thanks-8,2013-11-28 08:00,2018-11-22 08:00,2015-11-26 08:00,2016-11-24 08:00,2014-11-27 08:00
thanks-23,2013-11-28 23:00,2015-11-26 23:00,2018-11-22 23:00,2014-11-27 23:00,2016-11-24 23:00
ny-2,2017-01-01 02:00,2013-01-01 02:00,2014-01-01 02:00,2016-01-01 02:00,2018-01-01 02:00,2015-01-01 02:00
dst-5,2018-03-11 05:00,2014-03-09 05:00,2016-03-13 05:00,2015-03-08 05:00,2013-03-10 05:00
thanks-5,2016-11-24 05:00,2018-11-22 05:00,2013-11-28 05:00,2014-11-27 05:00,2015-11-26 05:00
labor-17,2016-09-05 17:00,2015-09-07 17:00,2018-09-03 17:00,2013-09-02 17:00,2014-09-01 17:00
native-19,2014-11-28 19:00,2018-11-23 19:00,2016-11-25 19:00,2013-11-22 19:00,2015-11-27 19:00
dst-23,2013-03-10 23:00,2014-03-09 23:00,2016-03-13 23:00,2015-03-08 23:00,2018-03-11 23:00
indep-18,2016-07-04 18:00,2015-07-04 18:00,2013-07-04 18:00,2014-07-04 18:00,2018-07-04 18:00
xmas-7,2013-12-25 07:00,2015-12-25 07:00,2018-12-25 07:00,2016-12-25 07:00,2014-12-25 07:00
dst-15,2013-03-10 15:00,2018-03-11 15:00,2014-03-09 15:00,2016-03-13 15:00,2015-03-08 15:00
labor-2,2018-09-03 02:00,2015-09-07 02:00,2016-09-05 02:00,2014-09-01 02:00,2013-09-02 02:00
labor-18,2013-09-02 18:00,2018-09-03 18:00,2016-09-05 18:00,2015-09-07 18:00,2014-09-01 18:00
eve-14,2013-12-24 14:00,2016-12-24 14:00,2014-12-24 14:00,2018-12-24 14:00,2015-12-24 14:00
xmas-14,2018-12-25 14:00,2015-12-25 14:00,2013-12-25 14:00,2014-12-25 14:00,2016-12-25 14:00
xmas-19,2014-12-25 19:00,2013-12-25 19:00,2015-12-25 19:00,2018-12-25 19:00,2016-12-25 19:00
mlk-8,2016-01-18 08:00,2018-01-15 08:00,2013-01-21 08:00,2014-01-20 08:00,2015-01-19 08:00
dst-3,2014-03-09 03:00,2013-03-10 03:00,2018-03-11 03:00,2016-03-13 03:00,2015-03-08 03:00
dst-11,2015-03-08 11:00,2014-03-09 11:00,2018-03-11 11:00,2013-03-10 11:00,2016-03-13 11:00
dst-16,2016-03-13 16:00,2018-03-11 16:00,2015-03-08 16:00,2013-03-10 16:00,2014-03-09 16:00
indep-8,2014-07-04 08:00,2018-07-04 08:00,2013-07-04 08:00,2015-07-04 08:00,2016-07-04 08:00
thanks-9,2014-11-27 09:00,2016-11-24 09:00,2015-11-26 09:00,2018-11-22 09:00,2013-11-28 09:00
dst-4,2013-03-10 04:00,2015-03-08 04:00,2018-03-11 04:00,2014-03-09 04:00,2016-03-13 04:00
indep-19,2014-07-04 19:00,2018-07-04 19:00,2013-07-04 19:00,2016-07-04 19:00,2015-07-04 19:00
ny-5,2014-01-01 05:00,2016-01-01 05:00,2015-01-01 05:00,2018-01-01 05:00,2013-01-01 05:00,2017-01-01 05:00
mlk-0,2013-01-21 00:00,2018-01-15 00:00,2014-01-20 00:00,2016-01-18 00:00,2015-01-19 00:00
mlk-7,2015-01-19 07:00,2016-01-18 07:00,2014-01-20 07:00,2018-01-15 07:00,2013-01-21 07:00
labor-15,2018-09-03 15:00,2015-09-07 15:00,2013-09-02 15:00,2014-09-01 15:00,2016-09-05 15:00
native-11,2015-11-27 11:00,2014-11-28 11:00,2018-11-23 11:00,2016-11-25 11:00,2013-11-22 11:00
eve-21,2015-12-24 21:00,2013-12-24 21:00,2018-12-24 21:00,2016-12-24 21:00,2014-12-24 21:00
ny-13,2017-01-01 13:00,2016-01-01 13:00,2015-01-01 13:00,2013-01-01 13:00,2014-01-01 13:00,2018-01-01 13:00
dst-18,2018-03-11 18:00,2016-03-13 18:00,2014-03-09 18:00,2015-03-08 18:00,2013-03-10 18:00
mem-14,2013-05-27 14:00,2014-05-26 14:00,2015-05-25 14:00,2018-05-28 14:00,2016-05-30 14:00
indep-2,2013-07-04 02:00,2018-07-04 02:00,2016-07-04 02:00,2015-07-04 02:00,2014-07-04 02:00
indep-14,2016-07-04 14:00,2013-07-04 14:00,2014-07-04 14:00,2018-07-04 14:00,2015-07-04 14:00
labor-10,2016-09-05 10:00,2015-09-07 10:00,2018-09-03 10:00,2014-09-01 10:00,2013-09-02 10:00
thanks-2,2013-11-28 02:00,2015-11-26 02:00,2014-11-27 02:00,2016-11-24 02:00,2018-11-22 02:00
mlk-1,2014-01-20 01:00,2013-01-21 01:00,2018-01-15 01:00,2016-01-18 01:00,2015-01-19 01:00
mem-3,2018-05-28 03:00,2016-05-30 03:00,2013-05-27 03:00,2015-05-25 03:00,2014-05-26 03:00
