ID,HIGH,LOW,LOAD,PREDICTION,YDELTA,msum,HOUR,DATETIME
360014,68.000000,60.000000,473.247131,0.000000,473.247131,1.000000,14,2015-08-31 14:00
420009,66.500000,49.000000,487.504089,511.150634,-23.646545,0.048505,9,2015-10-12 09:00
380310,66.000000,54.500000,486.532776,475.660993,10.871783,0.022345,10,2015-09-17 10:00
160508,65.500000,48.000000,474.389221,437.901622,36.487599,0.076915,8,2015-04-18 08:00
210112,72.000000,53.000000,478.213318,482.365759,-4.152441,0.008683,12,2015-05-19 12:00
500605,47.000000,42.500000,499.583008,490.156396,9.426612,0.018869,5,2015-12-13 05:00
430214,60.000000,48.500000,481.504089,513.059888,-31.555799,0.065536,14,2015-10-21 14:00
180122,65.000000,48.500000,460.389221,450.248145,10.141076,0.022027,22,2015-04-28 22:00
530522,36.000000,26.000000,693.589294,0.000000,693.589294,1.000000,22,2016-01-02 22:00
510603,46.500000,40.000000,482.583008,470.648661,11.934346,0.024730,3,2015-12-20 03:00
250502,74.500000,52.000000,317.798554,325.525889,-7.727335,0.024315,2,2015-06-20 02:00
410418,65.500000,52.500000,479.504089,487.383994,-7.879905,0.016433,18,2015-10-09 18:00
150401,58.500000,44.000000,387.389221,412.808042,-25.418821,0.065616,1,2015-04-10 01:00
160323,62.500000,40.000000,421.389221,435.708205,-14.318984,0.033980,23,2015-04-16 23:00
330414,71.000000,59.500000,480.247131,478.870676,1.376455,0.002866,14,2015-08-14 14:00
400411,61.000000,52.500000,493.504089,500.488108,-6.984018,0.014152,11,2015-10-02 11:00
260613,83.500000,63.500000,457.798523,465.793628,-7.995105,0.017464,13,2015-06-28 13:00
60523,54.500000,48.500000,455.451294,447.885445,7.565849,0.016612,23,2015-02-07 23:00
490202,48.000000,41.000000,478.583008,486.540838,-7.957830,0.016628,2,2015-12-02 02:00
400121,70.000000,46.500000,464.532776,434.241638,30.291138,0.065208,21,2015-09-29 21:00
180306,61.500000,46.000000,524.389221,489.877471,34.511750,0.065813,6,2015-04-30 06:00
260507,87.000000,61.000000,373.798554,353.820041,19.978512,0.053447,7,2015-06-27 07:00
