respondent_id,plan_date,HIGH_AVG,LOW_AVG,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,hour24
139,5/17/2018,65.5,52,349.4188843,335.4188843,323.4188843,329.4188843,338.4188843,382.4188843,418.4188843,445.4188843,471.4189453,466.4189453,469.4189453,481.4189453,463.4189453,458.4189453,456.4189453,458.4189453,455.4188843,462.4189453,464.4189453,461.4189453,465.4189453,466.4189453,422.4188843,379.4188843
139,5/18/2018,61.5,51.5,350.4188843,329.4188843,332.4188843,325.4188843,337.4188843,375.4188843,427.4188843,459.4189453,470.4189453,470.4189453,477.4189453,469.4189453,472.4189453,461.4189453,455.4188843,457.4189453,457.4189453,459.4188843,451.4188843,443.4188843,451.4188843,452.4188843,414.4188843,380.4188843
139,5/19/2018,70,54,349.4188843,334.4188843,323.4188843,320.4188843,322.4188843,327.4188843,337.4188843,367.4188843,403.4188843,417.4188843,433.4188843,427.4188843,427.4188843,406.4188843,413.4188843,411.4188843,417.4188843,417.4188843,421.4188843,421.4188843,416.4188843,420.4188843,386.4188843,355.4188843
139,5/20/2018,66.5,53.5,336.4188843,307.4188843,309.4188843,299.4188843,300.4188843,314.4188843,319.4188843,349.4188843,379.4188843,409.4188843,422.4188843,424.4188843,422.4188843,424.4188843,419.4188843,414.4188843,416.4188843,434.4188843,429.4188843,432.4188843,447.4188843,444.4188843,405.4188843,357.4188843
139,5/21/2018,68.5,51.5,329.4188843,315.4188843,311.4188843,315.4188843,331.4188843,370.4188843,414.4188843,452.4188843,465.4189453,470.4189453,469.4189453,476.4189453,476.4189453,469.4189453,465.4189453,464.4189453,474.4189453,473.4189453,475.4189453,469.4189453,470.4189453,468.4189453,426.4188843,377.4188843
139,5/22/2018,74,51,349.4188843,334.4188843,322.4188843,331.4188843,344.4188843,374.4188843,419.4188843,460.4189453,461.4189453,466.4189453,475.4189453,483.4189453,487.4189453,487.4189453,489.4189453,488.4189453,494.4189453,496.4189453,496.4189453,497.4189453,482.4189453,481.4189453,434.4188843,383.4188843
139,5/23/2018,78.5,54,352.4188843,334.4188843,321.4188843,325.4188843,330.4188843,365.4188843,406.4188843,434.4188843,457.4188843,471.4189453,480.4189453,489.4189453,495.4189453,500.4189453,503.4189453,509.4189453,514.4189453,513.4189453,518.4189453,490.4189453,491.4189453,477.4189453,434.4188843,383.4188843
139,5/24/2018,69,54,353.4188843,330.4188843,324.4188843,328.4188843,329.4188843,364.4188843,407.4188843,437.4188843,456.4188843,463.4189453,466.4189453,467.4189453,472.4189453,465.4189453,474.4189453,465.4189453,469.4189453,477.4189453,476.4189453,469.4189453,473.4189453,469.4189453,426.4188843,378.4188843
139,5/25/2018,66.5,51.5,354.4188843,334.4188843,320.4188843,321.4188843,325.4188843,351.4188843,390.4188843,421.4188843,442.4188843,449.4188843,460.4189453,457.4189453,448.4188843,457.4189453,448.4188843,440.4188843,447.4188843,444.4188843,437.4188843,430.4188843,425.4188843,432.4188843,399.4188843,368.4188843
139,5/26/2018,66,51,332.4188843,314.4188843,312.4188843,310.4188843,313.4188843,310.4188843,331.4188843,355.4188843,380.4188843,402.4188843,413.4188843,412.4188843,406.4188843,402.4188843,395.4188843,395.4188843,393.4188843,398.4188843,396.4188843,394.4188843,387.4188843,403.4188843,385.4188843,354.4188843
139,5/27/2018,74.5,49,332.4188843,317.4188843,310.4188843,299.4188843,307.4188843,316.4188843,320.4188843,333.4188843,371.4188843,391.4188843,399.4188843,400.4188843,397.4188843,398.4188843,386.4188843,397.4188843,400.4188843,410.4188843,412.4188843,410.4188843,399.4188843,405.4188843,391.4188843,352.4188843
139,5/28/2018,69.5,51.5,330.4188843,306.4188843,298.4188843,293.4188843,300.4188843,306.4188843,317.4188843,335.4188843,367.4188843,395.4188843,415.4188843,421.4188843,423.4188843,419.4188843,421.4188843,418.4188843,421.4188843,437.4188843,434.4188843,433.4188843,438.4188843,431.4188843,401.4188843,350.4188843
139,5/29/2018,65.5,48.5,327.4188843,306.4188843,306.4188843,302.4188843,323.4188843,362.4188843,407.4188843,443.4188843,464.4189453,457.4188843,469.4189453,462.4189453,464.4189453,459.4189453,458.4189453,461.4189453,462.4189453,463.4189453,468.4189453,460.4189453,463.4189453,461.4189453,428.4188843,378.4188843
139,5/30/2018,65,46.5,354.4188843,337.4188843,335.4188843,333.4188843,359.4188843,389.4188843,438.4188843,479.4189453,476.4189453,482.4189453,475.4189453,474.4189453,464.4189453,460.4189453,456.4189453,454.4188843,460.4189453,460.4189453,460.4189453,459.4189453,459.4189453,465.4189453,424.4188843,380.4188843
139,5/31/2018,64,48,358.4188843,335.4188843,328.4188843,333.4188843,352.4188843,384.4188843,434.4188843,465.4189453,472.4189453,478.4189453,484.4189453,478.4189453,464.4189453,463.4189453,463.4189453,455.4189453,457.4189453,461.4189453,459.4189453,453.4188843,455.4189453,467.4189453,425.4188843,390.4188843
139,6/1/2018,67,47.5,360.2747803,353.2747498,346.2747498,348.2747498,364.2747498,396.2747803,444.2747803,476.2747192,480.2747192,476.2747192,481.2747803,480.2747803,471.2747803,463.2747192,453.2747192,454.2747192,456.2747192,447.2747192,447.2747192,439.2747803,435.2747192,441.2747192,421.2747192,375.2747192
139,6/2/2018,76.5,52,356.2747803,332.2747803,323.2747803,319.2747498,320.2747498,331.2747498,342.2747498,367.2747498,393.2747192,419.2747192,428.2747192,434.2747192,427.2747192,433.2747192,420.2747192,421.2747192,429.2747192,429.2747192,436.2747192,423.2747192,421.2747803,422.2747803,404.2747192,368.2747803
139,6/3/2018,63.5,52,345.2747803,319.2747803,308.2747498,301.2747498,307.2747498,297.2747498,309.2747498,332.2747498,361.2747803,398.2747192,412.2747192,414.2747192,420.2747192,416.2747192,413.2747192,411.2747192,425.2747803,428.2747803,432.2747803,424.2747803,424.2747803,429.2747803,402.2747803,360.2747498
139,6/4/2018,68,49.5,332.2747498,320.2747498,318.2747803,314.2747498,344.2747498,376.2747803,429.2747803,462.2747192,467.2747192,476.2747192,465.2747192,468.2747192,463.2747192,469.2747192,457.2747192,458.2747192,462.2747192,461.2747192,462.2747192,459.2747192,455.2747192,459.2747192,425.2747803,377.2747803
139,6/5/2018,68.5,48.5,345.2747498,332.2747498,325.2747498,331.2747498,349.2747803,379.2747803,428.2747803,463.2747192,463.2747192,468.2747192,466.2747192,474.2747192,468.2747192,465.2747192,470.2747192,465.2747192,462.2747192,469.2747192,452.2747192,461.2747192,459.2747192,460.2747192,422.2747803,375.2747803
139,6/6/2018,74.5,49.5,338.2747498,337.2747498,332.2747498,326.2747498,337.2747498,364.2747498,414.2747803,455.2747192,465.2747192,457.2747192,466.2747192,470.2747192,471.2747192,471.2747192,468.2747192,473.2747192,484.2747192,502.2747192,503.2747192,494.2747192,480.2747192,482.2747192,426.2747803,360.2747803
139,6/7/2018,67.5,54,315.2747498,288.2747498,276.2747498,273.2747498,291.2747803,330.2747498,390.2747803,434.2747803,449.2747803,453.2747192,465.2747192,468.2747192,463.2747192,461.2747192,453.2747192,450.2747192,458.2747192,460.2747192,459.2747192,450.2747192,446.2747192,451.2747192,420.2747803,380.2747803
139,6/8/2018,62,51.5,349.2747498,332.2747498,321.2747498,322.2747498,328.2747498,363.2747498,405.2747803,438.2747192,463.2747192,461.2747192,471.2747192,474.2747192,470.2747192,466.2747192,454.2747192,462.2747192,455.2747192,458.2747192,461.2747192,443.2747192,447.2747192,440.2747192,421.2747192,384.2747192
139,6/9/2018,65,48,359.2747803,332.2747803,330.2747498,328.2747498,331.2747498,337.2747498,352.2747803,378.2747803,410.2747192,429.2747192,428.2747192,433.2747192,427.2747192,416.2747803,403.2747803,414.2747192,408.2747192,410.2747192,405.2747192,404.2747192,396.2747192,410.2747192,390.2747192,376.2747803
139,6/10/2018,60,48.5,343.2747498,324.2747498,324.2747803,320.2747803,324.2747498,326.2747498,348.2747803,363.2747803,395.2747192,415.2747192,430.2747803,436.2747192,426.2747192,429.2747192,417.2747192,425.2747192,426.2747192,437.2747192,442.2747192,443.2747192,451.2747192,441.2747192,411.2747803,380.2747803
139,6/11/2018,66.5,48,345.2747498,331.2747498,337.2747498,333.2747498,353.2747803,396.2747803,442.2747192,475.2747192,485.2747192,477.2747192,483.2747192,476.2747192,478.2747192,466.2747192,469.2747192,455.2747192,463.2747192,463.2747192,468.2747192,456.2747192,459.2747192,453.2747192,424.2747192,379.2747803
139,6/12/2018,65.5,50,347.2747803,332.2747498,325.2747498,328.2747498,351.2747498,376.2747803,419.2747803,452.2747192,465.2747192,459.2747192,462.2747192,460.2747192,468.2747192,463.2747192,462.2747192,463.2747192,457.2747192,454.2747192,464.2747192,462.2747192,455.2747192,457.2747192,415.2747192,372.2747803
139,6/13/2018,65.5,54,350.2747803,332.2747803,326.2747803,327.2747498,336.2747803,369.2747803,411.2747803,450.2747192,461.2747192,467.2747192,468.2747192,465.2747192,472.2747192,469.2747192,462.2747192,458.2747192,459.2747192,463.2747192,458.2747192,456.2747192,452.2747192,459.2747192,421.2747192,390.2747192
139,6/14/2018,66,53,359.2747498,334.2747498,330.2747498,332.2747498,347.2747498,375.2747498,419.2747803,458.2747803,469.2747803,477.2747803,476.2747803,480.2747803,479.2747803,472.2747803,463.2747803,462.2747803,462.2747803,458.2747803,459.2747803,448.2747803,452.2747803,453.2747803,422.2747803,384.2747803
139,6/15/2018,69.5,49.5,354.2747803,331.2747803,335.2747498,331.2747498,348.2747498,377.2747803,418.2747192,446.2747192,464.2747192,466.2747192,466.2747192,470.2747192,468.2747192,465.2747192,459.2747192,456.2747192,460.2747192,454.2747192,449.2747803,438.2747192,442.2747192,446.2747192,412.2747803,383.2747803
